Area name,Area code,Area type,Reporting date,Daily change in deaths,Cumulative deaths
England,E92000001,Nation,2020-07-17,112,40640
Wales,W92000004,Nation,2020-07-16,0,1545
Scotland,S92000003,Nation,2020-07-16,0,2490
Northern Ireland,N92000002,Nation,2020-07-16,0,556
United Kingdom,K02000001,UK,2020-07-16,66,45119
England,E92000001,Nation,2020-07-16,66,40528
Wales,W92000004,Nation,2020-07-15,2,1545
Scotland,S92000003,Nation,2020-07-15,0,2490
Northern Ireland,N92000002,Nation,2020-07-15,0,556
United Kingdom,K02000001,UK,2020-07-15,85,45053
England,E92000001,Nation,2020-07-15,83,40462
Wales,W92000004,Nation,2020-07-14,2,1543
Scotland,S92000003,Nation,2020-07-14,0,2490
Northern Ireland,N92000002,Nation,2020-07-14,2,556
United Kingdom,K02000001,UK,2020-07-14,138,44968
England,E92000001,Nation,2020-07-14,134,40379
Wales,W92000004,Nation,2020-07-13,0,1541
Scotland,S92000003,Nation,2020-07-13,0,2490
Northern Ireland,N92000002,Nation,2020-07-13,10,554
United Kingdom,K02000001,UK,2020-07-13,11,44830
England,E92000001,Nation,2020-07-13,11,40245
Wales,W92000004,Nation,2020-07-12,0,1541
Scotland,S92000003,Nation,2020-07-12,0,2490
Northern Ireland,N92000002,Nation,2020-07-12,-10,544
United Kingdom,K02000001,UK,2020-07-12,21,44819
England,E92000001,Nation,2020-07-12,21,40234
Wales,W92000004,Nation,2020-07-11,1,1541
Scotland,S92000003,Nation,2020-07-11,0,2490
Northern Ireland,N92000002,Nation,2020-07-11,0,554
United Kingdom,K02000001,UK,2020-07-11,148,44798
England,E92000001,Nation,2020-07-11,147,40213
Wales,W92000004,Nation,2020-07-10,0,1540
Scotland,S92000003,Nation,2020-07-10,0,2490
Northern Ireland,N92000002,Nation,2020-07-10,0,554
United Kingdom,K02000001,UK,2020-07-10,48,44650
England,E92000001,Nation,2020-07-10,48,40066
Wales,W92000004,Nation,2020-07-09,2,1540
Scotland,S92000003,Nation,2020-07-09,1,2490
Northern Ireland,N92000002,Nation,2020-07-09,0,554
United Kingdom,K02000001,UK,2020-07-09,85,44602
England,E92000001,Nation,2020-07-09,82,40018
Wales,W92000004,Nation,2020-07-08,4,1538
Scotland,S92000003,Nation,2020-07-08,1,2489
Northern Ireland,N92000002,Nation,2020-07-08,0,554
United Kingdom,K02000001,UK,2020-07-08,126,44517
England,E92000001,Nation,2020-07-08,121,39936
Wales,W92000004,Nation,2020-07-07,3,1534
Scotland,S92000003,Nation,2020-07-07,0,2488
Northern Ireland,N92000002,Nation,2020-07-07,0,554
United Kingdom,K02000001,UK,2020-07-07,155,44391
England,E92000001,Nation,2020-07-07,152,39815
Wales,W92000004,Nation,2020-07-06,0,1531
Scotland,S92000003,Nation,2020-07-06,0,2488
Northern Ireland,N92000002,Nation,2020-07-06,0,554
United Kingdom,K02000001,UK,2020-07-06,16,44236
England,E92000001,Nation,2020-07-06,16,39663
Wales,W92000004,Nation,2020-07-05,1,1531
Scotland,S92000003,Nation,2020-07-05,0,2488
Northern Ireland,N92000002,Nation,2020-07-05,0,554
United Kingdom,K02000001,UK,2020-07-05,22,44220
England,E92000001,Nation,2020-07-05,21,39647
Wales,W92000004,Nation,2020-07-04,5,1530
Scotland,S92000003,Nation,2020-07-04,1,2488
Northern Ireland,N92000002,Nation,2020-07-04,2,554
United Kingdom,K02000001,UK,2020-07-04,67,44198
England,E92000001,Nation,2020-07-04,59,39626
Wales,W92000004,Nation,2020-07-03,1,1525
Scotland,S92000003,Nation,2020-07-03,1,2487
Northern Ireland,N92000002,Nation,2020-07-03,1,552
United Kingdom,K02000001,UK,2020-07-03,137,44131
England,E92000001,Nation,2020-07-03,133,39567
Wales,W92000004,Nation,2020-07-02,8,1524
Scotland,S92000003,Nation,2020-07-02,1,2486
Northern Ireland,N92000002,Nation,2020-07-02,0,551
United Kingdom,K02000001,UK,2020-07-02,89,43995
England,E92000001,Nation,2020-07-02,80,39434
Wales,W92000004,Nation,2020-07-01,6,1516
Scotland,S92000003,Nation,2020-07-01,3,2485
Northern Ireland,N92000002,Nation,2020-07-01,0,551
United Kingdom,K02000001,UK,2020-07-01,176,43906
England,E92000001,Nation,2020-07-01,167,39354
Wales,W92000004,Nation,2020-06-30,3,1510
Scotland,S92000003,Nation,2020-06-30,0,2482
Northern Ireland,N92000002,Nation,2020-06-30,1,551
United Kingdom,K02000001,UK,2020-06-30,155,43730
England,E92000001,Nation,2020-06-30,151,39187
Wales,W92000004,Nation,2020-06-29,3,1507
Scotland,S92000003,Nation,2020-06-29,0,2482
Northern Ireland,N92000002,Nation,2020-06-29,1,550
United Kingdom,K02000001,UK,2020-06-29,25,43575
England,E92000001,Nation,2020-06-29,21,39036
Wales,W92000004,Nation,2020-06-28,2,1504
Scotland,S92000003,Nation,2020-06-28,0,2482
Northern Ireland,N92000002,Nation,2020-06-28,1,549
United Kingdom,K02000001,UK,2020-06-28,36,43550
England,E92000001,Nation,2020-06-28,33,39015
Wales,W92000004,Nation,2020-06-27,5,1502
Scotland,S92000003,Nation,2020-06-27,0,2482
Northern Ireland,N92000002,Nation,2020-06-27,1,548
United Kingdom,K02000001,UK,2020-06-27,100,43514
England,E92000001,Nation,2020-06-27,94,38982
Wales,W92000004,Nation,2020-06-26,0,1497
Scotland,S92000003,Nation,2020-06-26,2,2482
Northern Ireland,N92000002,Nation,2020-06-26,0,547
United Kingdom,K02000001,UK,2020-06-26,186,43414
England,E92000001,Nation,2020-06-26,182,38888
Wales,W92000004,Nation,2020-06-25,6,1497
Scotland,S92000003,Nation,2020-06-25,4,2480
Northern Ireland,N92000002,Nation,2020-06-25,1,547
United Kingdom,K02000001,UK,2020-06-25,149,43230
England,E92000001,Nation,2020-06-25,138,38706
Wales,W92000004,Nation,2020-06-24,8,1491
Scotland,S92000003,Nation,2020-06-24,4,2476
Northern Ireland,N92000002,Nation,2020-06-24,1,546
United Kingdom,K02000001,UK,2020-06-24,154,43081
England,E92000001,Nation,2020-06-24,141,38568
Wales,W92000004,Nation,2020-06-23,5,1483
Scotland,S92000003,Nation,2020-06-23,0,2472
Northern Ireland,N92000002,Nation,2020-06-23,0,545
United Kingdom,K02000001,UK,2020-06-23,171,42927
England,E92000001,Nation,2020-06-23,166,38427
Wales,W92000004,Nation,2020-06-22,1,1478
Scotland,S92000003,Nation,2020-06-22,0,2472
Northern Ireland,N92000002,Nation,2020-06-22,0,545
United Kingdom,K02000001,UK,2020-06-22,15,42756
England,E92000001,Nation,2020-06-22,14,38261
Wales,W92000004,Nation,2020-06-21,1,1477
Scotland,S92000003,Nation,2020-06-21,2,2472
Northern Ireland,N92000002,Nation,2020-06-21,1,545
United Kingdom,K02000001,UK,2020-06-21,43,42741
England,E92000001,Nation,2020-06-21,39,38247
Wales,W92000004,Nation,2020-06-20,1,1476
Scotland,S92000003,Nation,2020-06-20,6,2470
Northern Ireland,N92000002,Nation,2020-06-20,1,544
United Kingdom,K02000001,UK,2020-06-20,130,42698
England,E92000001,Nation,2020-06-20,122,38208
Wales,W92000004,Nation,2020-06-19,4,1475
Scotland,S92000003,Nation,2020-06-19,2,2464
Northern Ireland,N92000002,Nation,2020-06-19,0,543
United Kingdom,K02000001,UK,2020-06-19,173,42568
England,E92000001,Nation,2020-06-19,167,38086
Wales,W92000004,Nation,2020-06-18,5,1471
Scotland,S92000003,Nation,2020-06-18,9,2462
Northern Ireland,N92000002,Nation,2020-06-18,1,543
United Kingdom,K02000001,UK,2020-06-18,137,42395
England,E92000001,Nation,2020-06-18,122,37919
Wales,W92000004,Nation,2020-06-17,10,1466
Scotland,S92000003,Nation,2020-06-17,5,2453
Northern Ireland,N92000002,Nation,2020-06-17,1,542
United Kingdom,K02000001,UK,2020-06-17,184,42258
England,E92000001,Nation,2020-06-17,168,37797
Wales,W92000004,Nation,2020-06-16,8,1456
Scotland,S92000003,Nation,2020-06-16,0,2448
Northern Ireland,N92000002,Nation,2020-06-16,0,541
United Kingdom,K02000001,UK,2020-06-16,236,42074
England,E92000001,Nation,2020-06-16,228,37629
Wales,W92000004,Nation,2020-06-15,4,1448
Scotland,S92000003,Nation,2020-06-15,1,2448
Northern Ireland,N92000002,Nation,2020-06-15,0,541
United Kingdom,K02000001,UK,2020-06-15,38,41838
England,E92000001,Nation,2020-06-15,33,37401
Wales,W92000004,Nation,2020-06-14,3,1444
Scotland,S92000003,Nation,2020-06-14,5,2447
Northern Ireland,N92000002,Nation,2020-06-14,2,541
United Kingdom,K02000001,UK,2020-06-14,36,41800
England,E92000001,Nation,2020-06-14,26,37368
Wales,W92000004,Nation,2020-06-13,6,1441
Scotland,S92000003,Nation,2020-06-13,3,2442
Northern Ireland,N92000002,Nation,2020-06-13,1,539
United Kingdom,K02000001,UK,2020-06-13,183,41764
England,E92000001,Nation,2020-06-13,173,37342
Wales,W92000004,Nation,2020-06-12,10,1435
Scotland,S92000003,Nation,2020-06-12,5,2439
Northern Ireland,N92000002,Nation,2020-06-12,1,538
United Kingdom,K02000001,UK,2020-06-12,204,41581
England,E92000001,Nation,2020-06-12,188,37169
Wales,W92000004,Nation,2020-06-11,6,1425
Scotland,S92000003,Nation,2020-06-11,12,2434
Northern Ireland,N92000002,Nation,2020-06-11,0,537
United Kingdom,K02000001,UK,2020-06-11,152,41377
England,E92000001,Nation,2020-06-11,134,36981
Wales,W92000004,Nation,2020-06-10,9,1419
Scotland,S92000003,Nation,2020-06-10,7,2422
Northern Ireland,N92000002,Nation,2020-06-10,0,537
United Kingdom,K02000001,UK,2020-06-10,250,41225
England,E92000001,Nation,2020-06-10,234,36847
Wales,W92000004,Nation,2020-06-09,9,1410
Scotland,S92000003,Nation,2020-06-09,0,2415
Northern Ireland,N92000002,Nation,2020-06-09,0,537
United Kingdom,K02000001,UK,2020-06-09,289,40975
England,E92000001,Nation,2020-06-09,280,36613
Wales,W92000004,Nation,2020-06-08,3,1401
Scotland,S92000003,Nation,2020-06-08,0,2415
Northern Ireland,N92000002,Nation,2020-06-08,0,537
United Kingdom,K02000001,UK,2020-06-08,55,40686
England,E92000001,Nation,2020-06-08,52,36333
Wales,W92000004,Nation,2020-06-07,5,1398
Scotland,S92000003,Nation,2020-06-07,6,2415
Northern Ireland,N92000002,Nation,2020-06-07,1,537
United Kingdom,K02000001,UK,2020-06-07,77,40631
England,E92000001,Nation,2020-06-07,65,36281
Wales,W92000004,Nation,2020-06-06,10,1393
Scotland,S92000003,Nation,2020-06-06,14,2409
Northern Ireland,N92000002,Nation,2020-06-06,1,536
United Kingdom,K02000001,UK,2020-06-06,207,40554
England,E92000001,Nation,2020-06-06,182,36216
Wales,W92000004,Nation,2020-06-05,4,1383
Scotland,S92000003,Nation,2020-06-05,9,2395
Northern Ireland,N92000002,Nation,2020-06-05,1,535
United Kingdom,K02000001,UK,2020-06-05,358,40347
England,E92000001,Nation,2020-06-05,344,36034
Wales,W92000004,Nation,2020-06-04,8,1379
Scotland,S92000003,Nation,2020-06-04,11,2386
Northern Ireland,N92000002,Nation,2020-06-04,8,534
United Kingdom,K02000001,UK,2020-06-04,177,39989
England,E92000001,Nation,2020-06-04,150,35690
Wales,W92000004,Nation,2020-06-03,17,1371
Scotland,S92000003,Nation,2020-06-03,12,2375
Northern Ireland,N92000002,Nation,2020-06-03,2,526
United Kingdom,K02000001,UK,2020-06-03,365,39812
England,E92000001,Nation,2020-06-03,334,35540
Wales,W92000004,Nation,2020-06-02,7,1354
Scotland,S92000003,Nation,2020-06-02,1,2363
Northern Ireland,N92000002,Nation,2020-06-02,1,524
United Kingdom,K02000001,UK,2020-06-02,326,39447
England,E92000001,Nation,2020-06-02,317,35206
Wales,W92000004,Nation,2020-06-01,5,1347
Scotland,S92000003,Nation,2020-06-01,9,2362
Northern Ireland,N92000002,Nation,2020-06-01,1,523
United Kingdom,K02000001,UK,2020-06-01,111,39121
England,E92000001,Nation,2020-06-01,96,34889
Wales,W92000004,Nation,2020-05-31,11,1342
Scotland,S92000003,Nation,2020-05-31,22,2353
Northern Ireland,N92000002,Nation,2020-05-31,1,522
United Kingdom,K02000001,UK,2020-05-31,115,39010
England,E92000001,Nation,2020-05-31,81,34793
Wales,W92000004,Nation,2020-05-30,14,1331
Scotland,S92000003,Nation,2020-05-30,15,2331
Northern Ireland,N92000002,Nation,2020-05-30,3,521
United Kingdom,K02000001,UK,2020-05-30,230,38895
England,E92000001,Nation,2020-05-30,198,34712
Wales,W92000004,Nation,2020-05-29,10,1317
Scotland,S92000003,Nation,2020-05-29,12,2316
Northern Ireland,N92000002,Nation,2020-05-29,2,518
United Kingdom,K02000001,UK,2020-05-29,373,38665
England,E92000001,Nation,2020-05-29,349,34514
Wales,W92000004,Nation,2020-05-28,14,1307
Scotland,S92000003,Nation,2020-05-28,13,2304
Northern Ireland,N92000002,Nation,2020-05-28,2,516
United Kingdom,K02000001,UK,2020-05-28,416,38292
England,E92000001,Nation,2020-05-28,387,34165
Wales,W92000004,Nation,2020-05-27,11,1293
Scotland,S92000003,Nation,2020-05-27,18,2291
Northern Ireland,N92000002,Nation,2020-05-27,0,514
United Kingdom,K02000001,UK,2020-05-27,443,37876
England,E92000001,Nation,2020-05-27,414,33778
Wales,W92000004,Nation,2020-05-26,8,1282
Scotland,S92000003,Nation,2020-05-26,3,2273
Northern Ireland,N92000002,Nation,2020-05-26,8,514
United Kingdom,K02000001,UK,2020-05-26,136,37433
England,E92000001,Nation,2020-05-26,117,33364
Wales,W92000004,Nation,2020-05-25,7,1274
Scotland,S92000003,Nation,2020-05-25,9,2270
Northern Ireland,N92000002,Nation,2020-05-25,1,506
United Kingdom,K02000001,UK,2020-05-25,122,37297
England,E92000001,Nation,2020-05-25,105,33247
Wales,W92000004,Nation,2020-05-24,7,1267
Scotland,S92000003,Nation,2020-05-24,16,2261
Northern Ireland,N92000002,Nation,2020-05-24,1,505
United Kingdom,K02000001,UK,2020-05-24,441,37175
England,E92000001,Nation,2020-05-24,417,33142
Wales,W92000004,Nation,2020-05-23,6,1260
Scotland,S92000003,Nation,2020-05-23,24,2245
Northern Ireland,N92000002,Nation,2020-05-23,3,504
United Kingdom,K02000001,UK,2020-05-23,283,36734
England,E92000001,Nation,2020-05-23,250,32725
Wales,W92000004,Nation,2020-05-22,7,1254
Scotland,S92000003,Nation,2020-05-22,37,2221
Northern Ireland,N92000002,Nation,2020-05-22,7,501
United Kingdom,K02000001,UK,2020-05-22,358,36451
England,E92000001,Nation,2020-05-22,307,32475
Wales,W92000004,Nation,2020-05-21,9,1247
Scotland,S92000003,Nation,2020-05-21,50,2184
Northern Ireland,N92000002,Nation,2020-05-21,5,494
United Kingdom,K02000001,UK,2020-05-21,338,36093
England,E92000001,Nation,2020-05-21,274,32168
Wales,W92000004,Nation,2020-05-20,14,1238
Scotland,S92000003,Nation,2020-05-20,29,2134
Northern Ireland,N92000002,Nation,2020-05-20,7,489
United Kingdom,K02000001,UK,2020-05-20,369,35755
England,E92000001,Nation,2020-05-20,319,31894
Wales,W92000004,Nation,2020-05-19,17,1224
Scotland,S92000003,Nation,2020-05-19,2,2105
Northern Ireland,N92000002,Nation,2020-05-19,6,482
United Kingdom,K02000001,UK,2020-05-19,548,35386
England,E92000001,Nation,2020-05-19,523,31575
Wales,W92000004,Nation,2020-05-18,4,1207
Scotland,S92000003,Nation,2020-05-18,9,2103
Northern Ireland,N92000002,Nation,2020-05-18,3,476
United Kingdom,K02000001,UK,2020-05-18,160,34838
England,E92000001,Nation,2020-05-18,144,31052
Wales,W92000004,Nation,2020-05-17,12,1203
Scotland,S92000003,Nation,2020-05-17,41,2094
Northern Ireland,N92000002,Nation,2020-05-17,4,473
United Kingdom,K02000001,UK,2020-05-17,170,34678
England,E92000001,Nation,2020-05-17,113,30908
Wales,W92000004,Nation,2020-05-16,18,1191
Scotland,S92000003,Nation,2020-05-16,46,2053
Northern Ireland,N92000002,Nation,2020-05-16,15,469
United Kingdom,K02000001,UK,2020-05-16,480,34508
England,E92000001,Nation,2020-05-16,401,30795
Wales,W92000004,Nation,2020-05-15,9,1173
Scotland,S92000003,Nation,2020-05-15,34,2007
Northern Ireland,N92000002,Nation,2020-05-15,5,454
United Kingdom,K02000001,UK,2020-05-15,384,34028
England,E92000001,Nation,2020-05-15,336,30394
Wales,W92000004,Nation,2020-05-14,10,1164
Scotland,S92000003,Nation,2020-05-14,61,1973
Northern Ireland,N92000002,Nation,2020-05-14,2,449
United Kingdom,K02000001,UK,2020-05-14,428,33644
England,E92000001,Nation,2020-05-14,355,30058
Wales,W92000004,Nation,2020-05-13,22,1154
Scotland,S92000003,Nation,2020-05-13,50,1912
Northern Ireland,N92000002,Nation,2020-05-13,9,447
United Kingdom,K02000001,UK,2020-05-13,496,33216
England,E92000001,Nation,2020-05-13,415,29703
Wales,W92000004,Nation,2020-05-12,16,1132
Scotland,S92000003,Nation,2020-05-12,5,1862
Northern Ireland,N92000002,Nation,2020-05-12,3,438
United Kingdom,K02000001,UK,2020-05-12,630,32720
England,E92000001,Nation,2020-05-12,606,29288
Wales,W92000004,Nation,2020-05-11,5,1116
Scotland,S92000003,Nation,2020-05-11,10,1857
Northern Ireland,N92000002,Nation,2020-05-11,5,435
United Kingdom,K02000001,UK,2020-05-11,211,32090
England,E92000001,Nation,2020-05-11,191,28682
Wales,W92000004,Nation,2020-05-10,12,1111
Scotland,S92000003,Nation,2020-05-10,36,1847
Northern Ireland,N92000002,Nation,2020-05-10,4,430
United Kingdom,K02000001,UK,2020-05-10,269,31879
England,E92000001,Nation,2020-05-10,217,28491
Wales,W92000004,Nation,2020-05-09,9,1099
Scotland,S92000003,Nation,2020-05-09,49,1811
Northern Ireland,N92000002,Nation,2020-05-09,4,426
United Kingdom,K02000001,UK,2020-05-09,345,31610
England,E92000001,Nation,2020-05-09,283,28274
Wales,W92000004,Nation,2020-05-08,28,1090
Scotland,S92000003,Nation,2020-05-08,59,1762
Northern Ireland,N92000002,Nation,2020-05-08,4,422
United Kingdom,K02000001,UK,2020-05-08,627,31265
England,E92000001,Nation,2020-05-08,536,27991
Wales,W92000004,Nation,2020-05-07,18,1062
Scotland,S92000003,Nation,2020-05-07,83,1703
Northern Ireland,N92000002,Nation,2020-05-07,14,418
United Kingdom,K02000001,UK,2020-05-07,540,30638
England,E92000001,Nation,2020-05-07,425,27455
Wales,W92000004,Nation,2020-05-06,21,1044
Scotland,S92000003,Nation,2020-05-06,44,1620
Northern Ireland,N92000002,Nation,2020-05-06,17,404
United Kingdom,K02000001,UK,2020-05-06,652,30098
England,E92000001,Nation,2020-05-06,570,27030
Wales,W92000004,Nation,2020-05-05,26,1023
Scotland,S92000003,Nation,2020-05-05,5,1576
Northern Ireland,N92000002,Nation,2020-05-05,6,387
United Kingdom,K02000001,UK,2020-05-05,694,29446
England,E92000001,Nation,2020-05-05,657,26460
Wales,W92000004,Nation,2020-05-04,14,997
Scotland,S92000003,Nation,2020-05-04,12,1571
Northern Ireland,N92000002,Nation,2020-05-04,5,381
United Kingdom,K02000001,UK,2020-05-04,288,28752
England,E92000001,Nation,2020-05-04,257,25803
Wales,W92000004,Nation,2020-05-03,14,983
Scotland,S92000003,Nation,2020-05-03,44,1559
Northern Ireland,N92000002,Nation,2020-05-03,11,376
United Kingdom,K02000001,UK,2020-05-03,315,28464
England,E92000001,Nation,2020-05-03,246,25546
Wales,W92000004,Nation,2020-05-02,44,969
Scotland,S92000003,Nation,2020-05-02,40,1515
Northern Ireland,N92000002,Nation,2020-05-02,18,365
United Kingdom,K02000001,UK,2020-05-02,621,28149
England,E92000001,Nation,2020-05-02,519,25300
Wales,W92000004,Nation,2020-05-01,17,925
Scotland,S92000003,Nation,2020-05-01,60,1475
Northern Ireland,N92000002,Nation,2020-05-01,9,347
United Kingdom,K02000001,UK,2020-05-01,740,27528
England,E92000001,Nation,2020-05-01,654,24781
Wales,W92000004,Nation,2020-04-30,22,908
Scotland,S92000003,Nation,2020-04-30,83,1415
Northern Ireland,N92000002,Nation,2020-04-30,9,338
United Kingdom,K02000001,UK,2020-04-30,674,26788
England,E92000001,Nation,2020-04-30,560,24127
Wales,W92000004,Nation,2020-04-29,73,886
Scotland,S92000003,Nation,2020-04-29,70,1332
Northern Ireland,N92000002,Nation,2020-04-29,20,329
United Kingdom,K02000001,UK,2020-04-29,795,26114
England,E92000001,Nation,2020-04-29,632,23567
Wales,W92000004,Nation,2020-04-28,17,813
Scotland,S92000003,Nation,2020-04-28,13,1262
Northern Ireland,N92000002,Nation,2020-04-28,10,309
United Kingdom,K02000001,UK,2020-04-28,911,25319
England,E92000001,Nation,2020-04-28,871,22935
Wales,W92000004,Nation,2020-04-27,8,796
Scotland,S92000003,Nation,2020-04-27,18,1249
Northern Ireland,N92000002,Nation,2020-04-27,5,299
United Kingdom,K02000001,UK,2020-04-27,338,24408
England,E92000001,Nation,2020-04-27,307,22064
Wales,W92000004,Nation,2020-04-26,14,788
Scotland,S92000003,Nation,2020-04-26,47,1231
Northern Ireland,N92000002,Nation,2020-04-26,16,294
United Kingdom,K02000001,UK,2020-04-26,420,24070
England,E92000001,Nation,2020-04-26,343,21757
Wales,W92000004,Nation,2020-04-25,23,774
Scotland,S92000003,Nation,2020-04-25,64,1184
Northern Ireland,N92000002,Nation,2020-04-25,15,278
United Kingdom,K02000001,UK,2020-04-25,843,23650
England,E92000001,Nation,2020-04-25,741,21414
Wales,W92000004,Nation,2020-04-24,110,751
Scotland,S92000003,Nation,2020-04-24,58,1120
Northern Ireland,N92000002,Nation,2020-04-24,13,263
United Kingdom,K02000001,UK,2020-04-24,1006,22807
England,E92000001,Nation,2020-04-24,825,20673
Wales,W92000004,Nation,2020-04-23,17,641
Scotland,S92000003,Nation,2020-04-23,77,1062
Northern Ireland,N92000002,Nation,2020-04-23,30,250
United Kingdom,K02000001,UK,2020-04-23,727,21801
England,E92000001,Nation,2020-04-23,603,19848
Wales,W92000004,Nation,2020-04-22,15,624
Scotland,S92000003,Nation,2020-04-22,70,985
Northern Ireland,N92000002,Nation,2020-04-22,13,220
United Kingdom,K02000001,UK,2020-04-22,837,21074
England,E92000001,Nation,2020-04-22,739,19245
Wales,W92000004,Nation,2020-04-21,25,609
Scotland,S92000003,Nation,2020-04-21,12,915
Northern Ireland,N92000002,Nation,2020-04-21,13,207
United Kingdom,K02000001,UK,2020-04-21,1173,20237
England,E92000001,Nation,2020-04-21,1123,18506
Wales,W92000004,Nation,2020-04-20,9,584
Scotland,S92000003,Nation,2020-04-20,10,903
Northern Ireland,N92000002,Nation,2020-04-20,1,194
United Kingdom,K02000001,UK,2020-04-20,559,19064
England,E92000001,Nation,2020-04-20,539,17383
Wales,W92000004,Nation,2020-04-19,41,575
Scotland,S92000003,Nation,2020-04-19,56,893
Northern Ireland,N92000002,Nation,2020-04-19,17,193
United Kingdom,K02000001,UK,2020-04-19,498,18505
England,E92000001,Nation,2020-04-19,384,16844
Wales,W92000004,Nation,2020-04-18,28,534
Scotland,S92000003,Nation,2020-04-18,58,837
Northern Ireland,N92000002,Nation,2020-04-18,18,176
United Kingdom,K02000001,UK,2020-04-18,1115,18007
England,E92000001,Nation,2020-04-18,1011,16460
Wales,W92000004,Nation,2020-04-17,11,506
Scotland,S92000003,Nation,2020-04-17,80,779
Northern Ireland,N92000002,Nation,2020-04-17,18,158
United Kingdom,K02000001,UK,2020-04-17,936,16892
England,E92000001,Nation,2020-04-17,827,15449
